44619005,1411956811,374.985,0.080160,USD
44619007,1411956828,374.838,0.013000,USD
44619009,1411956835,374.88,0.011000,USD
44619011,1411956835,374.985,0.469000,USD
44619015,1411956879,374.796,0.980373,USD
44619024,1411956915,374.986,0.431864,USD
44619028,1411956948,375.034,0.010000,USD
44619035,1411956981,374.991,0.014000,USD
44619042,1411957040,375.018,0.010000,USD
44619044,1411957044,375.083,0.011000,USD
44619046,1411957044,375.129,0.013972,USD
44619048,1411957044,375.21,0.010000,USD
44619050,1411957044,375.287,0.013972,USD
44619052,1411957044,375.449,0.010978,USD
44619054,1411957044,375.714,0.011000,USD
44619056,1411957044,375.81,0.010000,USD
44619058,1411957044,375.893,0.013972,USD
44619060,1411957044,375.921,0.501469,USD
44619063,1411957063,375.297,0.013000,USD
44619066,1411957070,375.4,0.010020,USD
44619005,1411956811,374.985,0.080160,USD
44619007,1411956828,374.838,0.013000,USD
44619009,1411956835,374.88,0.011000,USD
44619011,1411956835,374.985,0.469000,USD
44619015,1411956879,374.796,0.980373,USD
44619024,1411956915,374.986,0.431864,USD
44619028,1411956948,375.034,0.010000,USD
44619035,1411956981,374.991,0.014000,USD
44619042,1411957040,375.018,0.010000,USD
44619044,1411957044,375.083,0.011000,USD
44619046,1411957044,375.129,0.013972,USD
44619048,1411957044,375.21,0.010000,USD
44619050,1411957044,375.287,0.013972,USD
44619052,1411957044,375.449,0.010978,USD
44619054,1411957044,375.714,0.011000,USD
44619056,1411957044,375.81,0.010000,USD
44619058,1411957044,375.893,0.013972,USD
44619060,1411957044,375.921,0.501469,USD
44619063,1411957063,375.297,0.013000,USD
44619066,1411957070,375.4,0.010020,USD
44619072,1411957113,375.4,0.020000,USD
44619074,1411957113,375.918,0.030500,USD
44619077,1411957116,375.917,0.155311,USD
44619079,1411957126,375.917,0.235031,USD
44619081,1411957160,375.917,0.053128,USD
44619084,1411957195,375.193,0.004000,USD
44619087,1411957204,375.193,0.103884,USD
44619089,1411957204,375.469,0.011000,USD
44619091,1411957221,375.607,0.129000,USD
44619211,1411957260,375.712,0.014000,USD
44619213,1411957261,375.469,0.333000,USD
44619006,1411956815,374.796,0.350000,USD
44619008,1411956828,374.796,0.318270,USD
44619010,1411956835,374.922,0.011000,USD
44619014,1411956874,374.796,0.287096,USD
44619022,1411956899,374.796,0.010000,USD
44619026,1411956926,374.986,0.153136,USD
44619029,1411956949,375.034,0.003000,USD
44619036,1411956981,374.986,0.818500,USD
44619043,1411957041,375.018,0.003000,USD
44619045,1411957044,375.083,0.011000,USD
44619047,1411957044,375.131,0.010978,USD
44619049,1411957044,375.246,0.212785,USD
44619051,1411957044,375.44,0.020000,USD
44619053,1411957044,375.607,0.012974,USD
44619055,1411957044,375.794,0.015400,USD
44619057,1411957044,375.848,0.030500,USD
44619059,1411957044,375.91,0.010000,USD
44619062,1411957063,375.6,0.010020,USD
44619064,1411957063,374.986,0.505344,USD
44619006,1411956815,374.796,0.350000,USD
44619008,1411956828,374.796,0.318270,USD
44619010,1411956835,374.922,0.011000,USD
44619014,1411956874,374.796,0.287096,USD
44619022,1411956899,374.796,0.010000,USD
44619026,1411956926,374.986,0.153136,USD
44619029,1411956949,375.034,0.003000,USD
44619036,1411956981,374.986,0.818500,USD
44619043,1411957041,375.018,0.003000,USD
44619045,1411957044,375.083,0.011000,USD
44619047,1411957044,375.131,0.010978,USD
44619049,1411957044,375.246,0.212785,USD
44619051,1411957044,375.44,0.020000,USD
44619053,1411957044,375.607,0.012974,USD
44619055,1411957044,375.794,0.015400,USD
44619057,1411957044,375.848,0.030500,USD
44619059,1411957044,375.91,0.010000,USD
44619062,1411957063,375.6,0.010020,USD
44619064,1411957063,374.986,0.505344,USD
44619071,1411957113,375.4,0.000980,USD
44619073,1411957113,375.607,0.011000,USD
44619075,1411957113,375.919,0.226351,USD
44619078,1411957126,375.916,0.030500,USD
44619080,1411957160,375.607,0.011000,USD
44619083,1411957172,375.193,0.010000,USD
44619085,1411957197,375.193,0.108216,USD
44619088,1411957204,375.377,0.011000,USD
44619090,1411957206,375.469,0.304300,USD
44619203,1411957259,375.92,0.031062,USD
44619212,1411957261,375.607,0.017000,USD
44619214,1411957264,375.469,0.076967,USD
